"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3698014";"";"";"Small molecule";"";"445.60";"3";"3";"3.27";"63.27";"6";"1";"0";"8";"N";"0.66";"None";"8.37";"3.64";"2.63";"1";"MOL";"-1";"32";"7";"1";"0";"445.2941";"-0.50";"NEUTRAL";"C25H39N3O4";"CO[C@@H](C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C(C)C";"IWGVABNVNOQFPY-TXTKFYIRSA-N"
"CHEMBL564948";"";"";"Small molecule";"";"369.55";"3";"6";"4.39";"26.79";"2";"0";"0";"6";"N";"0.74";"None";"9.28";"4.01";"2.13";"1";"MOL";"-1";"27";"4";"0";"0";"369.2780";"-0.59";"BASE";"C23H35N3O";"Cc1ccc(N2CCN(CCN(C)C[C@]34CC[C@H](CC3)C4(C)C)C2=O)cc1";"VLOIKNXQTLFVIH-OKDJAKQTSA-N"
"CHEMBL78916";"";"";"Small molecule";"";"329.49";"3";"3";"2.89";"35.58";"3";"1";"0";"5";"N";"0.90";"None";"8.79";"2.73";"1.33";"1";"MOL";"-1";"24";"4";"1";"0";"329.2467";"-1.24";"BASE";"C20H31N3O";"CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3ccccc3)CC2)CC1";"WDHYFDZSQKSUCX-WGSAOQKQSA-N"
"CHEMBL210551";"";"";"Small molecule";"";"402.50";"7";"8";"3.16";"50.83";"7";"0";"0";"5";"N";"0.51";"None";"6.35";"2.96";"2.93";"4";"MOL";"-1";"30";"7";"0";"0";"402.2168";"-2.21";"NEUTRAL";"C23H26N6O";"COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-n4cccn4)c3n2)CC1";"CAVSFHXWRJHLEI-UHFFFAOYSA-N"
"CHEMBL3697967";"";"";"Small molecule";"";"401.55";"3";"3";"3.26";"54.04";"5";"1";"0";"6";"N";"0.79";"None";"8.37";"3.60";"2.59";"1";"MOL";"-1";"29";"6";"1";"0";"401.2678";"-0.82";"NEUTRAL";"C23H35N3O3";"CC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1";"TUCVLDGVHWFVIS-WGSAOQKQSA-N"
"CHEMBL103871";"";"";"Small molecule";"";"318.42";"3";"4";"3.40";"35.16";"3";"1";"0";"4";"N";"0.80";"12.20";"6.70";"3.64";"3.56";"3";"MOL";"-1";"24";"4";"1";"0";"318.1844";"-1.47";"NEUTRAL";"C20H22N4";"c1ccc(-c2nc(CN3CCN(c4ccccc4)CC3)c[nH]2)cc1";"PORLBUSMWVWYQB-UHFFFAOYSA-N"
"CHEMBL3947289";"";"";"Small molecule";"";"370.47";"3";"3";"2.96";"62.54";"5";"1";"0";"5";"N";"0.75";"None";"8.28";"2.42";"1.49";"3";"MOL";"-1";"26";"5";"1";"0";"370.1351";"-0.35";"NEUTRAL";"C20H22N2O3S";"CN(C)[C@@H]1c2cc3c(ccn3S(=O)(=O)c3ccccc3)cc2[C@@H]1CCO";"ROZYQPYBANRXCZ-JXFKEZNVSA-N"
"CHEMBL3642790";"";"";"Small molecule";"";"460.62";"3";"3";"2.60";"76.16";"7";"1";"0";"10";"N";"0.54";"None";"8.34";"2.40";"1.32";"1";"MOL";"-1";"33";"8";"1";"0";"460.3050";"-0.85";"NEUTRAL";"C25H40N4O4";"COC(CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)OC";"LIWZXUWAEHOPHY-MXVIHJGJSA-N"
"CHEMBL310819";"";"";"Small molecule";"";"332.45";"3";"3";"3.89";"44.81";"3";"1";"0";"5";"N";"0.77";"11.92";"9.26";"3.64";"1.78";"3";"MOL";"-1";"25";"4";"1";"0";"332.2001";"-1.39";"BASE";"C21H24N4";"c1ccc(CCN2CCC(c3cc(-c4ccccn4)[nH]n3)CC2)cc1";"RWEPTLSUVVSWHX-UHFFFAOYSA-N"
"CHEMBL4846638";"";"";"Unknown";"";"380.56";"7";"19";"2.80";"118.42";"4";"4";"0";"7";"N";"0.33";"13.07";"9.55";"2.55";"0.80";"1";"MOL";"-1";"26";"7";"6";"1";"380.2358";"-0.71";"BASE";"C18H32N6OS";"Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCC(C)C1CCCCC1";"PMBDKZARCOUAFU-UHFFFAOYSA-N"
"CHEMBL91498";"";"";"Small molecule";"";"361.49";"3";"3";"4.66";"41.29";"4";"1";"0";"5";"N";"0.72";"13.22";"8.69";"4.97";"3.65";"3";"MOL";"-1";"27";"4";"1";"0";"361.2154";"-1.10";"BASE";"C23H27N3O";"CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1";"WTYNOFOXDOHJBE-UHFFFAOYSA-N"
